Date,Well_Name,Basin,Well_Type,Well_Depth_Ft,Oil_Production_BBL,Water_Cut_Percentage,Gas_Production_MCF,Oil_Price_USD,Gas_Price_USD,Revenue_USD,Operating_Cost_USD,Maintenance_Cost_USD,Equipment_Purchase_USD,Net_Income_USD,Reservoir_Pressure_PSI,Well_Head_Temperature_F,Porosity_Percentage,Permeability_mD,Formation_Volume_Factor,Gas_Oil_Ratio,Well_Lease_Cost_USD,Salary_Cost_USD,Insurance_Cost_USD,Environmental_Compliance_Cost_USD,Water_Disposal_Cost_USD,Chemical_Treatment_Cost_USD,Pump_Efficiency_Percentage,Pump_Power_Usage_KWh,Tubing_Pressure_PSI,Casing_Pressure_PSI,Wellhead_Temperature_F,Artificial_Lift_Power_KWh,Last_Workover_Days,Next_Maintenance_Days,Equipment_Runtime_Hours,Downtime_Hours,Oil_Cut_Percentage,Gas_Oil_Ratio_SCF_BBL,Water_Oil_Ratio,Liquid_Rate_BBL_Day,Environmental_Risk_Score,Equipment_Risk_Score,Financial_Risk_Score,Overall_Risk_Score,Oil_Production_BBL_30D_Avg,Gas_Production_MCF_30D_Avg,Net_Income_USD_30D_Avg,Production_Decline_Rate
2019-01-11,Well_Batman,Eagle Ford,Horizontal,10000,1289.71,27.68,554.42,74.13,3.43,97507.98,21772.61,2268.58,0,73466.79,2372.76,190.73,14.84,60.0,1.431,1210.83,6147.16,9295.41,2406.42,1783.06,1196.52,944.04,95.26,118.89,1217.15,599.67,152.38,176.18,365.0,30.0,24.07,0.0,72.32,0.43,0.38,1646.76,1.0,3.59,3.72,1.75,,,,
2019-01-12,Well_Batman,Eagle Ford,Horizontal,10000,1241.48,23.66,594.87,73.75,3.51,93647.07,22177.82,2228.06,0,69241.19,2425.03,176.13,14.08,59.99,1.454,1193.38,6345.54,9451.77,2426.63,1793.0,1195.5,965.38,96.26,115.89,1199.96,587.22,148.0,176.24,365.0,30.0,24.64,0.36,76.34,0.48,0.31,1535.18,3.48,2.59,2.5,4.54,,,,
2019-01-13,Well_Batman,Eagle Ford,Horizontal,10000,1200.29,19.08,598.16,70.23,3.48,86377.82,21888.51,2391.69,0,62097.63,2319.78,189.66,14.5,61.0,1.485,1133.14,5745.93,9766.64,2513.95,1755.39,1143.75,962.85,95.06,116.62,1213.4,608.02,143.43,174.36,365.0,30.0,24.34,0.07,80.92,0.5,0.24,1429.31,2.73,4.36,4.72,1.53,,,,
2019-01-14,Well_Batman,Eagle Ford,Horizontal,10000,1157.6,28.98,616.29,64.8,3.39,77101.92,21994.25,2231.99,0,52875.69,2421.71,180.79,14.53,58.09,1.368,1192.75,6024.01,9584.38,2375.23,1808.43,1224.63,977.57,97.6,112.08,1197.59,601.85,145.99,177.11,365.0,30.0,24.2,0.3,71.02,0.53,0.41,1493.05,1.85,1.2,3.91,3.26,,,,
2019-01-15,Well_Batman,Eagle Ford,Horizontal,10000,1271.54,26.51,566.12,70.69,3.6,91923.42,21914.61,2537.64,0,67471.16,2387.32,186.06,14.72,60.27,1.489,1205.73,6212.35,9536.78,2244.99,1783.56,1190.64,946.29,93.34,119.7,1183.12,597.59,152.43,178.96,365.0,30.0,24.26,0.01,73.49,0.45,0.36,1608.58,3.1,2.68,3.54,2.6,,,,
2019-01-16,Well_Batman,Eagle Ford,Horizontal,10000,1200.13,26.45,587.3,70.01,3.47,86058.8,21846.05,2458.41,0,61754.34,2384.21,184.24,14.46,60.56,1.431,1235.97,5891.77,9622.22,2371.69,1786.54,1226.52,947.31,95.81,121.78,1186.33,588.79,149.39,178.48,365.0,30.0,24.39,0.0,73.55,0.49,0.36,1517.51,4.28,1.9,1.61,2.82,,,,
2019-01-17,Well_Batman,Eagle Ford,Horizontal,10000,1165.88,20.16,570.69,69.32,3.47,82798.96,21992.27,2333.78,0,58472.91,2430.01,178.09,14.67,60.31,1.433,1177.35,5836.03,9697.56,2455.85,1814.88,1243.15,944.8,93.55,117.78,1212.46,603.42,140.26,181.71,365.0,30.0,24.47,0.51,79.84,0.49,0.25,1400.9,2.39,4.09,1.98,4.3,,,,
2019-01-18,Well_Batman,Eagle Ford,Horizontal,10000,1168.2,28.13,585.14,68.69,3.52,82303.3,22112.06,2510.57,0,57680.68,2395.75,184.74,14.13,58.06,1.374,1184.08,5850.76,9901.03,2360.15,1836.12,1191.03,972.97,98.66,124.48,1194.21,583.38,151.7,179.64,365.0,30.0,23.92,0.45,71.87,0.5,0.39,1496.82,4.95,1.27,3.51,3.41,,,,
2019-01-19,Well_Batman,Eagle Ford,Horizontal,10000,1233.34,21.1,651.18,68.13,3.47,86286.87,21718.2,2446.68,0,62122.0,2361.72,183.79,14.3,60.22,1.527,1227.75,6182.74,9333.6,2280.94,1785.35,1166.67,968.9,96.97,117.47,1202.7,599.63,154.24,176.16,365.0,30.0,23.65,0.0,78.9,0.53,0.27,1493.6,4.66,3.98,4.3,1.95,,,,
2019-01-20,Well_Batman,Eagle Ford,Horizontal,10000,1154.07,16.47,578.89,72.67,3.29,85771.08,21685.1,2429.49,0,61656.49,2411.2,185.09,14.7,58.43,1.493,1207.28,5702.68,9598.34,2377.17,1797.57,1214.47,994.87,94.59,117.63,1197.82,622.32,148.36,164.22,365.0,30.0,24.13,0.42,83.53,0.5,0.2,1344.19,4.19,3.65,3.62,4.18,,,,
2019-01-21,Well_Batman,Eagle Ford,Horizontal,10000,1142.78,19.91,617.16,66.38,3.63,78097.77,22359.96,2419.05,0,53318.75,2382.19,187.98,14.25,61.52,1.387,1249.53,6214.11,9876.04,2315.96,1786.15,1221.04,946.66,94.57,115.96,1224.6,581.72,155.47,190.7,365.0,30.0,24.63,0.0,80.09,0.54,0.25,1370.3,4.88,3.08,3.93,4.38,,,,
2019-01-22,Well_Batman,Eagle Ford,Horizontal,10000,1165.86,15.91,597.68,63.81,3.44,76449.4,22045.65,2428.66,0,51975.09,2468.63,193.05,14.34,60.91,1.464,1213.43,5660.77,10099.88,2447.52,1695.96,1215.9,925.62,95.27,120.77,1220.31,611.93,153.26,176.3,365.0,30.0,24.2,0.0,84.09,0.51,0.19,1351.33,1.65,2.04,2.94,4.28,,,,
2019-01-23,Well_Batman,Eagle Ford,Horizontal,10000,1225.21,26.77,628.51,67.63,3.54,85085.59,21331.19,2423.61,0,61330.79,2394.17,191.83,14.3,60.05,1.478,1199.37,5668.65,9080.65,2579.25,1793.47,1258.05,951.12,95.62,122.02,1229.83,598.29,148.14,181.4,365.0,30.0,24.6,0.0,73.23,0.51,0.37,1553.15,4.86,4.75,3.16,3.7,,,,
2019-01-24,Well_Batman,Eagle Ford,Horizontal,10000,1073.04,29.42,615.3,66.86,3.29,73767.66,22455.6,2286.6,0,49025.46,2361.01,188.99,14.27,61.06,1.371,1211.01,6041.6,9865.65,2591.98,1776.08,1182.56,997.73,95.12,109.37,1158.1,612.08,151.59,180.71,365.0,30.0,24.62,0.0,70.58,0.57,0.42,1388.73,3.6,2.03,1.42,2.51,,,,
2019-01-25,Well_Batman,Eagle Ford,Horizontal,10000,1115.92,22.78,595.43,67.56,3.33,77374.08,22125.41,2334.38,0,52914.29,2467.71,189.95,14.37,58.43,1.401,1203.21,6039.93,9660.55,2466.37,1803.6,1200.53,954.43,98.04,107.03,1222.55,592.07,150.17,177.54,365.0,30.0,24.62,0.07,77.22,0.53,0.29,1370.09,3.4,3.33,2.84,2.9,,,,
2019-01-26,Well_Batman,Eagle Ford,Horizontal,10000,1210.96,28.4,601.13,69.75,3.57,86610.55,21523.7,2450.32,0,62636.53,2403.18,191.05,14.52,59.01,1.375,1186.98,5546.28,9511.98,2468.84,1822.03,1208.68,965.89,91.41,123.12,1239.39,596.09,141.68,201.8,365.0,30.0,23.87,0.0,71.6,0.5,0.4,1554.88,2.39,4.18,1.04,1.3,,,,
2019-01-27,Well_Batman,Eagle Ford,Horizontal,10000,1167.7,25.35,576.31,68.19,3.47,81624.96,21817.51,2399.77,0,57407.68,2418.75,184.21,14.62,58.74,1.428,1202.0,6139.21,9267.33,2420.04,1819.82,1203.68,967.43,90.78,117.73,1162.84,617.05,148.05,182.63,365.0,30.0,23.6,0.0,74.65,0.49,0.34,1463.65,4.95,2.01,4.72,2.86,,,,
2019-01-28,Well_Batman,Eagle Ford,Horizontal,10000,1150.25,23.59,558.74,71.69,3.57,84456.41,22517.02,2280.32,0,59659.07,2426.63,196.89,14.77,57.7,1.428,1221.28,6429.92,9561.59,2520.01,1894.26,1179.6,931.64,92.11,127.75,1231.9,606.08,157.45,176.9,365.0,30.0,23.82,0.28,76.41,0.49,0.31,1421.65,3.1,1.56,2.4,4.5,,,,
2019-01-29,Well_Batman,Eagle Ford,Horizontal,10000,1228.76,22.85,652.17,66.92,3.54,84537.22,21801.59,2450.0,0,60285.64,2355.7,183.4,14.34,61.07,1.427,1168.97,6048.24,9317.04,2430.74,1852.77,1191.87,960.93,94.87,128.64,1180.5,608.51,160.98,192.31,365.0,30.0,23.93,0.0,77.15,0.53,0.3,1509.56,3.8,2.77,4.7,2.2,,,,
2019-01-30,Well_Batman,Eagle Ford,Horizontal,10000,1204.59,26.5,599.07,64.39,3.58,79708.18,21811.11,2475.68,0,55421.38,2425.64,187.96,14.34,59.51,1.378,1167.1,6233.95,9090.57,2580.95,1767.17,1169.68,968.79,94.23,118.86,1194.55,613.67,150.79,180.91,365.0,30.0,24.14,0.55,73.5,0.5,0.36,1523.75,1.83,1.1,4.36,1.07,1199.3166666666666,595.874,60253.617,
2019-01-31,Well_Batman,Eagle Ford,Horizontal,10000,1138.88,27.33,623.48,70.52,3.32,82383.77,21946.7,2579.38,0,57857.69,2403.3,187.12,14.47,61.0,1.4,1184.42,6086.09,9389.32,2474.48,1763.7,1241.73,991.38,94.28,118.96,1189.94,605.23,158.16,172.93,365.0,30.0,24.51,0.09,72.67,0.55,0.38,1450.16,1.01,1.78,4.24,1.21,1200.6906666666664,599.0413333333333,60518.045999999995,
2019-02-01,Well_Batman,Eagle Ford,Horizontal,10000,1244.53,17.07,589.74,71.03,3.46,90439.15,22120.44,2310.49,0,66008.22,2501.76,192.8,14.35,61.29,1.464,1243.86,6088.28,9657.12,2401.71,1821.29,1209.22,942.82,95.82,116.18,1188.5,579.78,152.76,180.3,365.0,30.0,23.87,0.29,82.93,0.47,0.21,1456.98,1.67,3.25,3.4,2.06,1198.8196666666668,598.2579999999999,60446.010333333325,
2019-02-02,Well_Batman,Eagle Ford,Horizontal,10000,1190.79,15.73,572.88,68.74,3.53,83877.15,21830.97,2420.98,0,59625.19,2386.79,188.36,14.53,57.7,1.462,1177.51,6223.68,9289.91,2388.79,1817.34,1184.84,926.41,94.22,120.61,1190.76,587.76,155.38,173.62,365.0,30.0,23.86,0.0,84.27,0.48,0.19,1378.05,4.66,1.13,1.11,1.53,1198.4293333333333,598.2023333333333,60433.92333333334,
2019-02-03,Well_Batman,Eagle Ford,Horizontal,10000,1187.06,24.17,596.32,64.9,3.5,79127.17,21955.16,2361.1,0,54810.91,2364.08,184.12,14.4,60.68,1.471,1200.46,5848.11,9769.99,2378.97,1768.03,1239.46,950.6,96.94,128.61,1163.44,589.66,148.65,183.65,365.0,30.0,23.47,0.0,75.83,0.5,0.32,1473.91,2.25,1.52,3.6,2.89,1196.2386666666669,599.828,60225.04566666667,
2019-02-04,Well_Batman,Eagle Ford,Horizontal,10000,1089.41,25.8,597.53,69.64,3.38,77886.28,22202.76,2361.03,0,53322.48,2432.05,182.33,14.39,61.44,1.421,1198.46,5981.13,9732.69,2478.94,1836.43,1230.23,943.34,98.67,129.59,1175.26,596.32,150.43,177.2,365.0,30.0,23.22,0.0,74.2,0.55,0.35,1370.43,4.63,4.21,3.61,2.66,1193.619,597.7363333333332,59953.51633333333,
2019-02-05,Well_Batman,Eagle Ford,Horizontal,10000,1170.76,21.45,633.51,72.14,3.31,86555.32,21781.19,2385.05,0,62389.08,2421.84,190.95,14.17,58.12,1.522,1195.66,5826.68,9589.54,2404.43,1850.68,1179.27,930.59,91.71,118.48,1219.03,607.53,156.66,182.54,365.0,30.0,24.36,0.0,78.55,0.54,0.27,1421.84,1.98,4.88,2.21,3.15,1190.8633333333335,599.7566666666667,59952.937333333335,
2019-02-06,Well_Batman,Eagle Ford,Horizontal,10000,1212.96,17.57,623.33,73.77,3.69,91780.28,21897.46,2214.18,0,67668.64,2390.35,197.1,14.37,59.92,1.365,1203.26,6187.82,9506.58,2290.87,1768.75,1210.7,932.74,96.4,122.34,1170.47,605.02,156.28,189.1,365.0,30.0,23.6,0.0,82.43,0.51,0.21,1426.11,4.7,3.55,2.27,1.76,1190.6186666666665,601.3256666666665,60230.88166666667,
2019-02-07,Well_Batman,Eagle Ford,Horizontal,10000,1216.3,30.72,598.85,74.18,3.39,92255.07,21263.45,2462.7,0,68528.92,2282.55,196.64,14.3,58.11,1.462,1201.59,6032.8,8800.77,2360.93,1850.56,1252.02,966.37,93.33,128.01,1175.19,592.49,150.07,179.41,365.0,30.0,23.31,1.0,69.28,0.49,0.44,1589.91,2.28,4.27,3.19,2.4,1188.2193333333335,600.7773333333333,60165.86933333333,
2019-02-08,Well_Batman,Eagle Ford,Horizontal,10000,1183.12,27.3,630.08,69.19,3.44,84027.74,21999.53,2482.92,0,59545.29,2453.31,195.6,14.41,60.91,1.445,1200.55,6038.27,9808.5,2261.56,1734.29,1197.49,959.42,93.4,129.46,1208.35,581.24,149.71,178.1,365.0,30.0,23.47,0.12,72.7,0.53,0.38,1506.17,4.62,1.26,2.71,2.3,1187.3513333333333,600.976,60092.73266666666,
2019-02-09,Well_Batman,Eagle Ford,Horizontal,10000,1164.36,23.66,599.06,70.16,3.47,83770.05,22507.78,2464.1,0,58798.16,2349.62,190.42,14.34,59.43,1.392,1229.58,6369.85,9929.38,2356.67,1769.52,1158.95,923.41,94.0,123.93,1174.96,614.11,157.48,187.64,365.0,30.0,23.89,0.0,76.34,0.51,0.31,1439.84,2.46,4.64,1.64,2.65,1185.5159999999998,600.3113333333333,59978.938,
2019-02-10,Well_Batman,Eagle Ford,Horizontal,10000,1168.19,16.74,577.45,70.52,3.57,84442.12,22427.31,2320.85,0,59693.96,2335.14,191.36,14.27,62.17,1.41,1252.82,6135.54,9853.59,2438.62,1860.51,1170.42,968.63,92.7,119.7,1203.67,597.87,148.34,193.54,365.0,30.0,23.93,0.18,83.26,0.49,0.2,1363.71,2.57,1.12,1.67,2.83,1181.4653333333333,601.0790000000001,59519.84366666667,
2019-02-11,Well_Batman,Eagle Ford,Horizontal,10000,1267.47,21.8,586.22,70.22,3.36,90971.19,21653.9,2422.3,0,66894.99,2397.33,190.31,13.97,61.99,1.354,1212.97,5843.25,9283.13,2590.9,1747.27,1210.26,979.09,94.13,128.72,1208.73,608.24,158.14,191.53,365.0,30.0,24.44,0.0,78.2,0.46,0.28,1543.83,2.28,1.54,2.79,1.4,1182.3316666666667,600.7906666666665,59441.637,
2019-02-12,Well_Batman,Eagle Ford,Horizontal,10000,1272.4,25.96,542.61,69.97,3.45,90901.93,22203.68,2388.98,0,66309.26,2435.08,187.25,14.48,58.75,1.469,1189.2,5984.7,9752.78,2485.09,1793.48,1220.76,966.87,95.67,116.79,1176.41,589.01,156.62,178.95,365.0,30.0,24.48,0.0,74.04,0.43,0.35,1602.73,1.19,2.3,2.38,2.63,1184.7353333333335,598.939,59582.024666666664,
2019-02-13,Well_Batman,Eagle Ford,Horizontal,10000,1246.22,21.29,620.03,71.32,3.62,91124.96,21838.45,2594.17,0,66692.34,2429.65,192.58,13.96,60.57,1.511,1213.32,5785.75,9678.69,2382.01,1848.45,1170.43,973.12,98.57,120.29,1178.73,595.79,160.2,170.19,365.0,30.0,23.69,0.0,78.71,0.5,0.27,1511.56,2.52,4.47,3.26,2.31,1187.6893333333333,599.0636666666667,60042.579666666665,
2019-02-14,Well_Batman,Eagle Ford,Horizontal,10000,1198.48,15.64,616.1,70.35,3.43,86426.28,21510.92,2448.97,0,62466.4,2455.06,195.58,14.14,62.76,1.376,1213.48,5782.16,9428.94,2304.21,1829.14,1167.2,999.27,97.02,117.12,1209.76,599.61,156.43,177.72,365.0,30.0,23.31,0.81,84.36,0.51,0.19,1385.97,1.81,3.07,1.82,3.24,1185.2540000000001,600.7296666666666,59875.75433333334,
2019-02-15,Well_Batman,Eagle Ford,Horizontal,10000,1232.41,30.69,553.06,71.11,3.46,89550.11,21853.72,2328.26,0,65368.13,2399.82,194.05,14.52,58.81,1.447,1212.32,5894.17,9672.69,2319.54,1809.7,1195.6,962.02,96.18,117.01,1219.08,592.02,148.63,177.37,365.0,30.0,23.45,0.27,69.31,0.45,0.44,1610.69,1.02,3.97,3.68,3.27,1186.3300000000002,599.5883333333334,59996.214,
2019-02-16,Well_Batman,Eagle Ford,Horizontal,10000,1059.58,21.11,603.7,69.84,3.36,76029.78,21408.57,2514.24,0,52106.96,2418.67,197.08,14.25,59.95,1.442,1215.79,5739.69,9212.19,2356.63,1926.76,1201.45,971.85,93.94,122.16,1204.29,595.05,147.44,174.77,365.0,30.0,24.87,0.09,78.89,0.57,0.27,1283.26,3.59,3.83,4.52,1.28,1182.7866666666666,600.6886666666667,59784.015666666666,
2019-02-17,Well_Batman,Eagle Ford,Horizontal,10000,1258.96,24.96,602.79,69.56,3.59,89737.07,21475.44,2516.65,0,65744.98,2416.6,199.21,14.55,60.67,1.353,1198.45,5675.72,9510.42,2410.08,1767.63,1190.02,921.57,92.95,118.43,1166.08,606.76,153.11,164.75,365.0,30.0,24.51,0.63,75.04,0.48,0.33,1573.17,3.26,2.19,3.07,1.19,1185.8119999999997,601.2769999999999,60052.825666666664,
2019-02-18,Well_Batman,Eagle Ford,Horizontal,10000,1226.33,20.84,566.75,70.86,3.34,88790.61,22392.17,2431.31,0,63967.13,2351.65,190.44,14.45,59.54,1.39,1246.1,6158.81,10024.44,2262.32,1782.86,1193.63,970.11,94.26,124.11,1194.92,596.04,159.44,174.59,365.0,30.0,24.02,0.0,79.16,0.46,0.26,1481.9,4.52,3.29,2.5,3.16,1185.5783333333334,598.4626666666667,60114.329999999994,
2019-02-19,Well_Batman,Eagle Ford,Horizontal,10000,1171.76,22.63,571.8,72.66,3.41,87090.05,21652.95,2435.72,0,63001.38,2411.6,200.27,14.16,58.64,1.375,1237.13,5950.58,9459.49,2289.95,1778.48,1202.54,971.91,93.63,117.52,1244.38,589.01,151.35,175.77,365.0,30.0,23.44,0.0,77.37,0.49,0.29,1436.95,3.69,3.39,2.82,3.79,1186.1680000000001,598.2263333333333,60159.15966666666,
2019-02-20,Well_Batman,Eagle Ford,Horizontal,10000,1089.27,29.78,584.85,75.03,3.59,83827.68,22240.24,2293.81,0,59293.63,2425.16,202.6,14.25,61.12,1.472,1208.23,5976.05,9930.98,2403.51,1764.77,1171.77,993.16,97.47,130.63,1191.35,621.61,162.1,179.83,365.0,30.0,23.63,0.53,70.22,0.54,0.42,1413.66,2.79,4.28,3.73,2.9,1184.3843333333332,597.1493333333333,60358.32233333333,
2019-02-21,Well_Batman,Eagle Ford,Horizontal,10000,1266.95,25.39,595.82,70.15,3.48,90949.79,22202.7,2292.52,0,66454.57,2443.78,198.61,14.22,59.67,1.451,1200.53,6123.51,9557.24,2541.45,1794.27,1216.98,969.25,97.19,121.2,1202.36,609.68,155.36,183.49,365.0,30.0,23.62,0.0,74.61,0.47,0.34,1588.64,1.03,3.86,1.85,2.49,1187.7540000000001,597.0873333333333,60840.97166666667,
2019-02-22,Well_Batman,Eagle Ford,Horizontal,10000,1213.12,23.82,590.36,70.19,3.48,87203.16,21873.86,2560.98,0,62768.32,2427.32,197.41,14.31,61.59,1.455,1168.69,6202.06,9322.3,2329.12,1819.63,1228.02,972.73,98.22,124.65,1204.31,602.9,152.7,168.41,365.0,30.0,23.15,0.0,76.18,0.49,0.31,1502.09,1.38,2.28,1.47,3.73,1187.3509999999999,595.8156666666667,60888.88933333333,
2019-02-23,Well_Batman,Eagle Ford,Horizontal,10000,1234.15,19.41,554.48,73.17,3.39,92182.35,22111.4,2361.65,0,67709.29,2405.93,199.3,14.39,56.87,1.369,1190.87,5844.75,9822.1,2436.91,1832.22,1237.67,937.75,93.37,115.3,1200.5,619.87,149.66,177.24,365.0,30.0,23.26,1.06,80.59,0.45,0.24,1473.74,4.0,2.11,3.1,1.74,1192.7213333333334,593.7883333333334,61511.683666666664,
2019-02-24,Well_Batman,Eagle Ford,Horizontal,10000,1180.16,32.18,560.87,71.83,3.45,86706.19,21063.77,2465.07,0,63177.35,2474.55,193.76,14.16,58.99,1.475,1175.41,5916.78,8860.04,2387.2,1778.39,1168.49,952.87,92.87,123.46,1205.85,588.41,151.89,171.8,365.0,30.0,23.67,0.1,67.82,0.48,0.47,1559.92,4.08,2.65,3.62,3.41,1194.8626666666669,592.6363333333334,61853.78566666667,
2019-02-25,Well_Batman,Eagle Ford,Horizontal,10000,1223.67,27.42,614.38,68.58,3.52,86081.7,22255.25,2410.84,0,61415.61,2374.24,184.52,14.38,61.08,1.435,1225.94,5911.19,10113.51,2203.78,1863.59,1196.3,966.88,90.19,112.79,1200.09,606.81,154.81,172.86,365.0,30.0,25.19,0.0,72.58,0.5,0.38,1559.15,4.19,3.09,3.04,4.16,1195.2863333333335,593.078,61813.08833333333,
2019-02-26,Well_Batman,Eagle Ford,Horizontal,10000,1194.61,12.89,610.97,67.16,3.4,82307.1,22689.33,2262.79,0,57354.98,2409.96,200.82,14.8,58.6,1.393,1222.11,6167.61,9964.3,2538.5,1849.52,1186.74,982.66,93.54,125.43,1232.28,590.12,152.38,169.23,365.0,30.0,24.08,0.0,87.11,0.51,0.15,1348.54,3.52,2.32,3.0,4.18,1196.1833333333334,594.2333333333333,61811.331666666665,
2019-02-27,Well_Batman,Eagle Ford,Horizontal,10000,1105.41,24.77,633.48,68.29,3.42,77655.2,22782.2,2422.32,0,52450.68,2450.43,198.17,14.61,58.59,1.452,1186.25,5847.16,10460.09,2530.59,1776.84,1223.15,944.37,92.79,125.39,1183.07,585.59,157.97,176.76,365.0,30.0,24.25,0.0,75.23,0.57,0.33,1379.21,4.08,4.6,3.38,4.66,1194.6886666666664,596.7246666666667,61571.052,
